URL,Size (Bytes),# of Outlinks,Content Type
https://www.usatoday.com/story/news/politics/onpolitics/2016/09/16/charles-koch-network-reorganizes-ground-operations/90508206/,110676,136,text/html
https://www.usatoday.com/sitemap/2012/september/13/,194267,307,text/html
https://www.usatoday.com/story/sports/high-school/2020/02/20/ihsaa-wrestling-how-warsaw-jacob-linky-overcame-slavery-homelessness/4786282002/,105935,108,text/html
https://www.usatoday.com/sitemap/2017/august/25/,202180,309,text/html
https://www.usatoday.com/sports/mlb/sagarin/2004/team/,634374,291,text/html
https://www.usatoday.com/sitemap/2013/february/,155731,134,text/html
https://www.usatoday.com/story/news/world/2019/04/17/trumps-veto-yemen-war-bill-wont-end-debate-over-u-s-role-conflict/3497418002/,127296,144,text/html
https://www.usatoday.com/story/life/weekend/2013/12/27/the-best-of-2013-/4180815/,112092,131,text/html
https://www.usatoday.com/sports/ncaab/sagarin/2017/team/,546396,289,text/html
https://www.usatoday.com/sitemap/2018/october/9/,202736,308,text/html
https://www.usatoday.com/sitemap/2012/december/18/,195329,308,text/html
https://www.usatoday.com/videos/virtual-reality/2017/12/11/west-point-band-turns-200-advance-army-navy-game-vr/108396626/,223414,134,text/html
https://www.usatoday.com/story/tech/2020/01/21/grindr-tinder-privacy-how-keep-dating-apps-selling-your-data/4479534002/,117041,138,text/html
https://www.usatoday.com/story/sports/mlb/2017/08/19/minor-league-team-sharing-name-market-atlanta-braves-not-easy/578769001/,114148,134,text/html
https://www.usatoday.com/sitemap/2012/march/6/,151254,110,text/html
https://www.usatoday.com/story/sports/highschool/2020/02/17/usa-today-high-school-sports-awards-fall-nominees-dallas/4788604002/,108647,136,text/html
https://www.usatoday.com/sitemap/2012/june/17/,152075,113,text/html
https://www.usatoday.com/sitemap/2012/april/5/,151242,110,text/html
https://www.usatoday.com/sitemap/2012/december/8/,184564,257,text/html
https://www.usatoday.com/sitemap/2012/september/12/,194208,306,text/html
https://www.usatoday.com/picture-gallery/travel/cruises/2018/12/31/costa-smeralda-cruise-ship-preview-artists-drawings/2385392002/,150273,104,text/html
https://www.usatoday.com/sitemap/2012/february/29/,151345,110,text/html
https://www.usatoday.com/sitemap/2018/december/18/,202621,308,text/html
https://www.usatoday.com/sitemap/2017/august/20/,201350,308,text/html
https://www.usatoday.com/story/tech/2020/01/31/fortnite-banned-kentucky-esports-because-video-game-has-guns/4620984002/,121257,149,text/html
https://www.usatoday.com/sitemap/2018/june/25/,201693,308,text/html
https://www.usatoday.com/sitemap/2018/october/8/,202154,309,text/html
https://www.usatoday.com/story/news/2016/01/06/twitter-account-oregon-organizer-bundy-suspended/78315656/,100654,130,text/html
https://www.usatoday.com/sitemap/2020/february/21/,202464,308,text/html
https://www.usatoday.com/sitemap/2012/march/9/,150996,109,text/html
https://www.usatoday.com/sitemap/2012/january/20/,151405,110,text/html
https://www.usatoday.com/sitemap/2012/june/14/,151246,110,text/html
https://www.usatoday.com/sitemap/2012/march/,156055,137,text/html
https://www.usatoday.com/sitemap/2019/july/13/,191834,262,text/html
https://www.usatoday.com/sports/nhl/sagarin/2010/rating/,299242,288,text/html
https://www.usatoday.com/story/todayinthesky/2013/09/16/dc-flights-disrupoted-after-navy-yard-shooting/2819899/,91833,118,text/html
https://www.usatoday.com/story/sports/soccer/europe/2013/12/27/premier-league-club-cardiff-fires-manager-mackay/4219121/,108070,132,text/html
https://www.usatoday.com/sitemap/2012/september/11/,195132,306,text/html
https://www.usatoday.com/sitemap/2018/june/24/,200828,303,text/html
https://www.usatoday.com/story/money/2017/05/08/how-get-money-your-entrepreneurial-dream/101243984/,111807,130,text/html
